dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,route_strategy,pattern,device_model,cloud_model
18,device,280.20,291.00,11.00,280.00,0,"TRUE","",1765213472360,1765213472371,1765213472651,"Question: is durham university part of the russell group
                                        Context: In March 2012 it was announced that four universities -- Durham, Exeter, Queen Mary University of London; and York -- would become members of the Russell Group in August of the same year. All of the new members had previously been members of the 1994 Group of British universities.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",77,585,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
19,device,465.70,477.00,12.00,465.00,0,"TRUE","",1765213473362,1765213473374,1765213473839,"Question: is the tv show the resident over for the season
                                        Context: The Resident is an American medical drama television series aired by Fox Broadcasting Company that premiered on January 21, 2018, as a mid-season replacement entry in the 2017--18 television season. The fictional series focuses on the lives and duties of staff members at Chastain Park Memorial Hospital, while delving into the bureaucratic practices of the hospital industry. Formerly called The City, the show was purchased by Fox from Showtime in 2017. It was created by created by Amy Holden Jones, Hayley Schore, and Roshan Sethi. On May 10, 2017, Fox ordered a full 14-episode season and renewed the series for a second season on May 7, 2018. The first season officially concluded on May 14, 2018.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",146,1008,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
20,device,249.40,260.00,11.00,249.00,0,"TRUE","",1765213474363,1765213474374,1765213474623,"Question: does magnesium citrate have citric acid in it
                                        Context: Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio (1 magnesium atom per citrate molecule). The name ``magnesium citrate'' is ambiguous and sometimes may refer to other salts such as trimagnesium citrate which has a magnesium:citrate ratio of 3:2.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",74,589,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
21,device,421.20,433.00,12.00,421.00,0,"FALSE","",1765213475367,1765213475379,1765213475800,"Question: does p o box come before street address
                                        Context: Street Addressing will have the same street address of the post office, plus a ``unit number'' that matches the P.O. Box number. As an example, in El Centro, California, the post office is located at 1598 Main Street. Therefore, for P.O. Box 9975 (fictitious), the Street Addressing would be: 1598 Main Street Unit 9975, El Centro, CA. Nationally, the first five digits of the zip code may or may not be the same as the P.O. Box address, and the last four digits (Zip + 4) are virtually always different. Except for a few of the largest post offices in the U.S., the 'Street Addressing' (not the P.O. Box address) nine digit Zip + 4 is the same for all boxes at a given location.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",153,976,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
22,cloud,618.30,629.00,11.00,618.00,0,"TRUE","",1765213476371,1765213476382,1765213477000,"Question: does a spark plug keep an engine running
                                        Context: A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) is a device for delivering electric current from an ignition system to the combustion chamber of a spark-ignition engine to ignite the compressed fuel/air mixture by an electric spark, while containing combustion pressure within the engine. A spark plug has a metal threaded shell, electrically isolated from a central electrode by a porcelain insulator. The central electrode, which may contain a resistor, is connected by a heavily insulated wire to the output terminal of an ignition coil or magneto. The spark plug's metal shell is screwed into the engine's cylinder head and thus electrically grounded. The central electrode protrudes through the porcelain insulator into the combustion chamber, forming one or more spark gaps between the inner end of the central electrode and usually one or more protuberances or structures attached to the inner end of the threaded shell and designated the side, earth, or ground electrode(s).
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",188,1321,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
23,device,268.60,275.00,7.00,268.00,0,"TRUE","",1765213477375,1765213477382,1765213477650,"Question: is a cape and a cloak the same
                                        Context: Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a full-length cloak. Gentlemen wear an ankle-length or full-length cloak. Formal cloaks often have expensive, colored linings and trimmings such as silk, satin, velvet and fur.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",71,553,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
24,device,337.70,350.00,12.00,338.00,0,"TRUE","",1765213478381,1765213478393,1765213478731,"Question: does it cost money to renounce us citizenship
                                        Context: Renunciation of U.S. citizenship was free until July 2010, at which time a fee of $450 was established. An increase to $2,350, effective September 12, 2014, was justified as ``reflective of the true cost'' of processing. This followed a fee increase of approximately 220% in 2013. The increase took effect in January 2015.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",81,625,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
25,device,494.40,506.00,11.00,495.00,0,"TRUE","",1765213479382,1765213479393,1765213479888,"Question: is a fire 7 the same as a kindle
                                        Context: The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon.com. Built with Quanta Computer, the Kindle Fire was first released in November 2011, featuring a color 7-inch multi-touch display with IPS technology and running a custom version of Google's Android operating system called Fire OS. The Kindle Fire HD followed in September 2012, and the Kindle Fire HDX in September 2013. In September 2014, when the fourth generation was introduced, the name ``Kindle'' was dropped. In September 2015, the fifth generation Fire 7 was released, followed by the sixth generation Fire HD 8, in September 2016. The seventh generation Fire 7 was released in June 2017.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",140,979,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
26,device,344.40,355.00,11.00,344.00,0,"TRUE","",1765213480390,1765213480401,1765213480745,"Question: can you drink alcohol with your parents in wisconsin
                                        Context: The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, possess, or consume alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18-20 may also be served, possess or consumer alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18 to 20 may also possess (but not consume) alcohol as part of their employment.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",109,745,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
27,device,373.60,385.00,11.00,374.00,0,"TRUE","",1765213481398,1765213481409,1765213481783,"Question: do penguins have feathers arising from the epidermis
                                        Context: Contour feathers are not uniformly distributed on the skin of the bird except in some groups such as the penguins, ratites and screamers. In most birds the feathers grow from specific tracts of skin called pterylae; between the pterylae there are regions which are free of feathers called apterylae (or apteria). Filoplumes and down may arise from the apterylae. The arrangement of these feather tracts, pterylosis or pterylography, varies across bird families and has been used in the past as a means for determining the evolutionary relationships of bird families.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",118,876,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
28,cloud,684.30,696.00,11.00,685.00,0,"FALSE","",1765213482399,1765213482410,1765213483095,"Question: do you need to break in a car
                                        Context: A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",218,1377,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
29,device,337.50,349.00,11.00,338.00,0,"TRUE","",1765213483406,1765213483417,1765213483755,"Question: is the enchanted forest in oregon still open
                                        Context: The Enchanted Forest is an amusement park located in Turner in the U.S. state of Oregon, next to Interstate 5 just south of Salem. Creator Roger Tofte opened the park in 1971 after seven years of construction. Today, the Tofte family still owns and operates the 20-acre (8.1 ha) park.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",78,586,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
30,device,396.10,408.00,12.00,396.00,0,"TRUE","",1765213484408,1765213484420,1765213484816,"Question: is there a golf course at the indy 500
                                        Context: On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in 1956, and houses the Auto Racing Hall of Fame. The museum moved into its current building located in the infield in 1976. Also on the grounds is the Brickyard Crossing Golf Resort, which originally opened as the Speedway Golf Course in 1929. The golf course has 14 holes outside the track, along the backstretch, and four holes in the infield. The speedway also served as the venue for the opening ceremonies for the 1987 Pan American Games.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",121,827,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
31,device,381.40,393.00,12.00,381.00,0,"TRUE","",1765213485412,1765213485424,1765213485805,"Question: does deadpool have a kid in the comics
                                        Context: As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, written by Brian Posehn and Gerry Duggan and illustrated by Tony Moore. He is also a member of the Thunderbolts. In the 27th issue of his new series, as part of ``All-New Marvel NOW!'', Deadpool was married for the third time. Initially a secret, his bride was revealed in the webcomic Deadpool: The Gauntlet to be Shiklah, Queen of the Undead. Deadpool also discovers that he has a daughter by the name of Eleanor from a former flame of Deadpool named Carmelita.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",124,846,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
32,device,253.10,263.00,10.00,253.00,0,"TRUE","",1765213486413,1765213486423,1765213486676,"Question: do they still make benson & hedges cigarettes
                                        Context: Benson & Hedges is a British brand of cigarettes owned by either Philip Morris International, British American Tobacco, or Japan Tobacco, depending on the region. In the UK, they are registered in Old Bond Street in London, and are manufactured in Lisnafillan, Ballymena, Northern Ireland.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",73,592,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
33,device,351.10,362.00,11.00,351.00,0,"FALSE","",1765213487421,1765213487432,1765213487783,"Question: is federal income tax the same as social security
                                        Context: The Commonwealth government has its own tax laws and Puerto Ricans are also required to pay some US federal taxes, although most residents do not have to pay the federal personal income tax. In 2009, Puerto Rico paid $3.742 billion into the US Treasury. Residents of Puerto Rico pay into Social Security, and are thus eligible for Social Security benefits upon retirement. However, they are excluded from the Supplemental Security Income.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",100,745,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
34,device,324.80,336.00,11.00,325.00,0,"TRUE","",1765213488426,1765213488437,1765213488762,"Question: is an engine speed sensor the same as a crankshaft sensor
                                        Context: The crank sensor can be used in combination with a similar camshaft position sensor to monitor the relationship between the pistons and valves in the engine, which is particularly important in engines with variable valve timing. This method is also used to ``synchronise'' a four stroke engine upon starting, allowing the management system to know when to inject the fuel. It is also commonly used as the primary source for the measurement of engine speed in revolutions per minute.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",110,797,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
35,device,329.70,339.00,9.00,330.00,0,"TRUE","",1765213489427,1765213489436,1765213489766,"Question: is indiana jones temple of doom a prequel
                                        Context: Indiana Jones and the Temple of Doom is a 1984 American action-adventure film directed by Steven Spielberg. It is the second installment in the Indiana Jones franchise and a prequel to the 1981 film Raiders of the Lost Ark, featuring Harrison Ford reprising his role as the title character. After arriving in North India, Indiana Jones is asked by desperate villagers to find a mystical stone and rescue their children from a Thuggee cult practicing child slavery, black magic and ritual human sacrifice in honor of the goddess Kali.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",117,832,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
36,device,467.90,479.00,11.00,468.00,0,"TRUE","",1765213490432,1765213490443,1765213490911,"Question: is there any next part of avengers infinity war
                                        Context: The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's The Avengers and 2015's Avengers: Age of Ultron and the twenty-second film in the Marvel Cinematic Universe (MCU). The film is directed by Anthony and Joe Russo, with a screenplay by the writing team of Christopher Markus and Stephen McFeely, and features an ensemble cast with many actors from previous MCU films.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",139,979,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
